Modelo,Segmento
BIZ 125,City
CG 160 START,City
CG 160 FAN,City
CG 160 TITAN,City
XRE 190,Trail
POP 110I,City
NXR 160 BROS ESDD,Trail
CB 500X,Crossover
CB 250F TWISTER ABS,Naked
XRE 300 ABS,Trail
CB 250F TWISTER CBS,Naked
PCX 150 SPORT ABS,Scooter
BIZ 110I,City
CRF 250F,Off-Road
XRE 190 SE,Trail
ELITE 125,Scooter
HONDA ADV 150,Scooter
PCX 150 DLX ABS,Scooter
CB 300F TWISTER CBS,Off-Road
CB 300F TWISTER ABS,Off-Road
PCX 160 DLX ABS,Scooter
PCX 160 CBS,Scooter
XRE 300 SAHARA,Trail
XRE 300 SAHARA RALLY,Trail
XRE 300 SAHARA ADV,Trail
POP 110I ES,City
CG 160 CARGO,City
PCX 160 ABS,Scooter
NXR 160 BROS CBS,Trail
NXR 160 BROS ABS,Trail
BIZ ES,City
XR 300 L TORNADO,Trail
BIZ EX,City
XRE 190 ADV,Trail
HONDA ADV 160,Scooter
CG 160 CARGO ESDI,City
CRF 1100L AFRICA TWIN ADVENTURE SPORTS ES MT,Big Trail
CRF 250R,Off-Road
TRX 420 FOURTRAX FM 4X4,Off-Road
CRF 250 X,Off-Road
NC 750X,Crossover
CRF 450 R,Off-Road
CRF 250RX,Off-Road
CB 500F,Off-Road
CRF 450RX,Off-Road
nan,Off-Road
